numSearches,avgCounts,maxCounts,maxDepth,avgMaxs,max,maxBoard,wins0,wins1,wins2,wins3,bestMove,board00,board01,board02,board03,board10,board11,board12,board13,board20,board21,board22,board23,board30,board31,board32,board33
155,95.58,220,7,111.18,256,32,0.06, 0.13, 0.2, 0.61,down,8, 2, 32, 0, 4, 16, 0, 2, 4, 8, 0, 0, 0, 0, 0, 0
163,95.47,220,8,118.44,256,32,0.2, 0.27, 0.29, 0.23,up,0, 0, 0, 2, 0, 2, 0, 0, 8, 16, 0, 0, 8, 8, 32, 2
163,99.59,298,6,118.83,256,32,0.28, 0.02, 0, 0.7,down,16, 2, 32, 4, 2, 16, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0
151,94.94,242,8,119.58,256,32,0.83, 0.16, 0.01, 0,right,0, 0, 0, 0, 0, 2, 0, 0, 16, 16, 0, 2, 2, 8, 32, 4
165,94.2,241,6,114.89,256,64,0.02, 0.05, 0.66, 0.28,up,2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 32, 2, 2, 8, 32, 4
167,97.68,236,6,121.52,256,64,0.18, 0.26, 0.46, 0.1,up,4, 8, 64, 4, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0
156,88.01,237,5,110.47,256,64,0.2, 0.26, 0.2, 0.35,down,4, 8, 64, 8, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
185,95.44,240,6,123.53,256,64,0.46, 0.17, 0.18, 0.19,right,0, 0, 0, 0, 0, 0, 0, 2, 4, 8, 0, 0, 2, 2, 64, 8
163,96.21,230,7,126.05,256,64,0.27, 0.01, 0.21, 0.52,down,2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 8, 0, 4, 64, 8
161,90.19,249,6,118.52,256,64,0.05, 0.16, 0.46, 0.33,up,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 2, 4, 64, 16
179,88.89,237,7,115.2,256,64,0.4, 0.27, 0, 0.34,right,4, 4, 4, 2, 0, 2, 64, 16, 0, 0, 0, 0, 0, 0, 0, 0
183,80.88,207,8,110.26,256,64,0, 0.78, 0, 0.22,left,0, 4, 8, 2, 0, 2, 64, 16, 0, 0, 0, 2, 0, 0, 0, 0
207,91.5,214,9,130.15,256,64,0.06, 0.04, 0.86, 0.04,up,4, 8, 2, 0, 2, 64, 16, 0, 2, 0, 0, 0, 0, 0, 2, 0
175,92.18,221,6,126.18,256,64,0.08, 0.25, 0.43, 0.24,up,4, 8, 2, 0, 4, 64, 16, 0, 0, 0, 2, 0, 0, 0, 2, 0
173,88.67,223,7,121.75,256,64,0.81, 0.06, 0, 0.13,right,8, 8, 2, 0, 0, 64, 16, 0, 0, 2, 4, 0, 0, 0, 0, 0
183,85.61,227,7,120,256,64,0.64, 0.18, 0.1, 0.08,right,0, 0, 16, 2, 0, 0, 64, 16, 0, 2, 2, 4, 0, 0, 0, 0
193,77.81,178,7,113.15,256,64,0.17, 0.07, 0.51, 0.24,up,0, 0, 16, 2, 2, 0, 64, 16, 0, 0, 4, 4, 0, 0, 0, 0
216,84.22,222,7,119.74,256,64,0.15, 0.56, 0, 0.28,left,2, 2, 16, 2, 0, 0, 64, 16, 0, 0, 4, 4, 0, 0, 0, 0
197,83.76,230,7,117.98,256,64,0.28, 0.3, 0.07, 0.35,down,4, 16, 2, 2, 64, 16, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0
198,84.09,224,6,121.25,256,64,0.1, 0.39, 0.17, 0.33,left,0, 0, 0, 0, 4, 0, 0, 2, 64, 0, 0, 0, 8, 32, 2, 2
197,80.18,222,6,117.98,256,64,0.41, 0.12, 0.2, 0.28,right,0, 0, 0, 0, 4, 2, 0, 2, 64, 0, 0, 0, 8, 32, 4, 0
209,86.18,232,6,126.48,256,64,0.3, 0.18, 0.37, 0.15,up,0, 0, 0, 0, 2, 0, 4, 4, 0, 0, 0, 64, 0, 8, 32, 4
191,80.52,212,6,123.67,256,64,0.58, 0.26, 0.12, 0.03,right,2, 8, 4, 4, 0, 0, 32, 64, 2, 0, 0, 4, 0, 0, 0, 0
208,80.61,223,6,123.41,256,64,0.09, 0.36, 0.39, 0.16,up,0, 2, 8, 8, 0, 0, 32, 64, 0, 0, 2, 4, 2, 0, 0, 0
208,78.2,199,9,124.33,256,64,0.89, 0.09, 0, 0.02,right,2, 2, 8, 8, 0, 0, 32, 64, 0, 0, 2, 4, 0, 0, 0, 2
215,76.76,214,6,122.37,256,64,0.48, 0.24, 0.13, 0.15,right,0, 0, 4, 16, 0, 0, 32, 64, 0, 0, 2, 4, 2, 0, 0, 2
219,76.23,219,6,120.73,256,64,0.34, 0.23, 0.3, 0.13,right,0, 0, 4, 16, 0, 0, 32, 64, 0, 0, 2, 4, 2, 0, 0, 4
221,74.58,202,7,119.64,256,64,0, 0.36, 0.21, 0.43,down,0, 0, 4, 16, 0, 2, 32, 64, 0, 0, 2, 4, 0, 0, 2, 4
